"DesktopSource","PreviousArchive","Destination","Bytes","SHA256"
"C:\Users\李\Desktop\第三问模型改进机制报告\01_C到C加机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\01_C到C加机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\01_C到C加机制回测报告.md","10117","45F73FA96395DFBC97AAA9E7BC6DECA508A69DF1FC3C4E21962AD935CC8E95F8"
"C:\Users\李\Desktop\第三问模型改进机制报告\02_C加到F机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\02_C加到F机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\02_C加到F机制回测报告.md","14578","ECE865E0BA89BAFD30880F63BDCFE1E2AD0B0721448D581CF026FAFDD3EF3CD6"
"C:\Users\李\Desktop\第三问模型改进机制报告\03_F到G机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\03_F到G机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\03_F到G机制回测报告.md","8946","D330924771DB4D9F63747EEDC28F1D7178F6CFFC607C9E3E83277D4010EF5FD1"
"C:\Users\李\Desktop\第三问模型改进机制报告\04_G到I机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\04_G到I机制回测报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\04_G到I机制回测报告.md","8872","F8F30BC4144FD9DCA992B82FE1762E88C4778E0E76AD7BF54713446057E09A86"
"C:\Users\李\Desktop\第三问模型改进机制报告\B1_C加到D失败分支机制报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\B1_C加到D失败分支机制报告.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\B1_C加到D失败分支机制报告.md","9711","2040C38D8E959419F0CF4E9A5F06A2FCC08E2BE7472E85A57F17507EB3C61D64"
"C:\Users\李\Desktop\第三问模型改进机制报告\README.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\第三问模型改进机制报告\README.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\历史版本\桌面_2026-09-15\第三问模型改进机制报告\README.md","1719","20748217D9543D876183D28E5278443150214B1ABA1340715288286A4F7BC795"
"C:\Users\李\Desktop\Q3_bold_design\compute_union_route.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_bold_design\compute_union_route.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_bold_design\compute_union_route.py","3700","34E57C5B86459EEDF09F354723265488F13AB5A531E915C21E1A48405722846D"
"C:\Users\李\Desktop\Q3_bold_design\K模型_保守版设计.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_bold_design\K模型_保守版设计.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_bold_design\K模型_保守版设计.md","8099","48C612CA0D5D4FCA5E5B60CF57AA5975EB69E0B647823813ACF95DD304CDD06B"
"C:\Users\李\Desktop\Q3_bold_design\K模型_一体化覆盖清除设计.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_bold_design\K模型_一体化覆盖清除设计.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_bold_design\K模型_一体化覆盖清除设计.md","7100","C67328191AD12165E5ECB3B89D2C6B3836C48943D499C86B4BC2212C24581C33"
"C:\Users\李\Desktop\Q3_oracle_test\J+模型说明.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_oracle_test\J+模型说明.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_oracle_test\J+模型说明.md","3676","A2497C6B73B11565EEAABB43E8D17DD62D071A073204A62000EE753396A28057"
"C:\Users\李\Desktop\Q3_oracle_test\J模型说明.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_oracle_test\J模型说明.md","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_oracle_test\J模型说明.md","3842","E9EAC077D79223C98354FAD0E2575A806C4A59B700F09F0F297433B47E9BBFE0"
"C:\Users\李\Desktop\Q3_oracle_test\model_j.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_oracle_test\model_j.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_oracle_test\model_j.py","2115","7462AD20ED355964123CF56D32E499E2C2E75BADE7C072C44C8D29D94C24E7F9"
"C:\Users\李\Desktop\Q3_oracle_test\model_jplus.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\杂项文件夹\桌面归档_2026-09-15\比赛资料\第三问实验\Q3_oracle_test\model_jplus.py","C:\Users\李\Desktop\math_build_contest\math_build_contest\src\q3\实验\Q3_oracle_test\model_jplus.py","1231","52CAB7E82B0DBB6C8A827EF71B48ABD5D2CD0F284CDDBF9E021E377DE246C19A"
